timestamp,d_date,t_time,c_count,company_code,company,exchange,open,high,low,incre_decre,current,close,last_price,buy_qty,sell_qty,dwh_p_col3
"2023-08-03 09:15:04",2023-08-03,09:15:04,1,AXISBANK,"Axis Bank Ltd.",NSE,944.1,944.4,943.55,-2.2,943.05,945.25,943.05,69105,163747,NULL
"2023-08-03 09:15:04",2023-08-03,09:15:04,1,HDFCBANK,"HDFC Bank Ltd.",NSE,1640,1640.05,1640,-1.95,1638.55,1640.5,1638.55,202443,256040,NULL
"2023-08-03 09:15:04",2023-08-03,09:15:04,1,ICICIBANK,"ICICI Bank Ltd.",NSE,976.55,979.8,976.55,-7.25,979.7,986.95,979.7,123601,193374,NULL
"2023-08-03 09:15:04",2023-08-03,09:15:04,1,KOTAKBANK,"Kotak Mahindra Bank Ltd.",NSE,1820.1,1820.1,1820.1,-4.1,1819.6,1823.7,1819.6,47860,70388,NULL
"2023-08-03 09:15:04",2023-08-03,09:15:04,1,"NIFTY BANK",,NSE,44862.9,44903.6,44858.6,-121.15,44874.6,44995.7,44874.6,0,0,NULL
"2023-08-03 09:15:04",2023-08-03,09:15:04,1,SBIN,"State Bank of India",NSE,598.7,598.7,598.7,-0.7,597.75,598.45,597.75,146490,393043,NULL
"2023-08-03 09:15:12",2023-08-03,09:15:12,2,AXISBANK,"Axis Bank Ltd.",NSE,944.1,944.4,941.95,-3.2,942.05,945.25,942.05,91940,194887,NULL
"2023-08-03 09:15:12",2023-08-03,09:15:12,2,HDFCBANK,"HDFC Bank Ltd.",NSE,1640,1641.5,1637.5,-1.65,1638.85,1640.5,1638.85,204238,288032,NULL
"2023-08-03 09:15:12",2023-08-03,09:15:12,2,ICICIBANK,"ICICI Bank Ltd.",NSE,976.55,982.8,976.55,-5.6,981.35,986.95,981.35,178883,232557,NULL
"2023-08-03 09:15:12",2023-08-03,09:15:12,2,KOTAKBANK,"Kotak Mahindra Bank Ltd.",NSE,1820.1,1820.8,1818.2,-6.05,1817.65,1823.7,1817.65,50794,77474,NULL
"2023-08-03 09:15:12",2023-08-03,09:15:12,2,"NIFTY BANK",,NSE,44862.9,44903.6,44853.5,-142.2,44853.5,44995.7,44853.5,0,0,NULL
"2023-08-03 09:15:12",2023-08-03,09:15:12,2,SBIN,"State Bank of India",NSE,598.7,598.8,596.6,-1.8,596.65,598.45,596.65,186719,491850,NULL
"2023-08-03 09:15:19",2023-08-03,09:15:19,3,AXISBANK,"Axis Bank Ltd.",NSE,944.1,944.4,940.5,-4.95,940.3,945.25,940.3,95489,207685,NULL
"2023-08-03 09:15:19",2023-08-03,09:15:19,3,HDFCBANK,"HDFC Bank Ltd.",NSE,1640,1641.5,1637.5,-0.6,1639.9,1640.5,1639.9,213126,292458,NULL
"2023-08-03 09:15:19",2023-08-03,09:15:19,3,ICICIBANK,"ICICI Bank Ltd.",NSE,976.55,982.8,976.55,-5.55,981.4,986.95,981.4,186908,238172,NULL
"2023-08-03 09:15:19",2023-08-03,09:15:19,3,KOTAKBANK,"Kotak Mahindra Bank Ltd.",NSE,1820.1,1820.8,1817.5,-7.6,1816.1,1823.7,1816.1,61208,88788,NULL
"2023-08-03 09:15:19",2023-08-03,09:15:19,3,"NIFTY BANK",,NSE,44862.9,44903.6,44834.1,-158.3,44837.4,44995.7,44837.4,0,0,NULL
"2023-08-03 09:15:19",2023-08-03,09:15:19,3,SBIN,"State Bank of India",NSE,598.7,598.8,595.55,-2.65,595.8,598.45,595.8,246001,551036,NULL
