timestamp,d_date,t_time,c_count,company_code,company,exchange,open,high,low,incre_decre,current,close,last_price,buy_qty,sell_qty,dwh_p_col3
"2023-07-31 09:15:01",2023-07-31,09:15:01,1,AXISBANK,"Axis Bank Ltd.",NSE,954.7,954.7,949.95,3.85,953.8,949.95,953.8,74299,166748,NULL
"2023-07-31 09:15:01",2023-07-31,09:15:01,1,HDFCBANK,"HDFC Bank Ltd.",NSE,1650.05,1650.05,1646.15,5.9,1649.4,1643.5,1649.4,182802,269020,NULL
"2023-07-31 09:15:01",2023-07-31,09:15:01,1,ICICIBANK,"ICICI Bank Ltd.",NSE,996,997.5,996,1.4,997.6,996.2,997.6,93052,163616,NULL
"2023-07-31 09:15:01",2023-07-31,09:15:01,1,"NIFTY BANK",,NSE,45546.4,45546.4,45493.8,44.6,45512.7,45468.1,45512.7,0,0,NULL
"2023-07-31 09:15:06",2023-07-31,09:15:06,2,AXISBANK,"Axis Bank Ltd.",NSE,954.7,954.7,949.95,3.9,953.85,949.95,953.85,79980,171516,NULL
"2023-07-31 09:15:06",2023-07-31,09:15:06,2,HDFCBANK,"HDFC Bank Ltd.",NSE,1650.05,1650.05,1643.65,5.1,1648.6,1643.5,1648.6,199763,297655,NULL
"2023-07-31 09:15:06",2023-07-31,09:15:06,2,ICICIBANK,"ICICI Bank Ltd.",NSE,996,997.6,996,0.1,996.3,996.2,996.3,101739,187050,NULL
"2023-07-31 09:15:06",2023-07-31,09:15:06,2,"NIFTY BANK",,NSE,45546.4,45563.1,45493.8,67.25,45535.4,45468.1,45535.4,0,0,NULL
"2023-07-31 09:15:12",2023-07-31,09:15:12,3,AXISBANK,"Axis Bank Ltd.",NSE,954.7,954.7,949.95,3.05,953,949.95,953,97916,192807,NULL
"2023-07-31 09:15:12",2023-07-31,09:15:12,3,HDFCBANK,"HDFC Bank Ltd.",NSE,1650.05,1650.05,1643.65,2.2,1645.7,1643.5,1645.7,218715,315454,NULL
"2023-07-31 09:15:12",2023-07-31,09:15:12,3,ICICIBANK,"ICICI Bank Ltd.",NSE,996,997.6,996,1,997.2,996.2,997.2,130491,229482,NULL
"2023-07-31 09:15:12",2023-07-31,09:15:12,3,"NIFTY BANK",,NSE,45546.4,45563.1,45493.8,48,45516.1,45468.1,45516.1,0,0,NULL
"2023-07-31 09:15:17",2023-07-31,09:15:17,4,AXISBANK,"Axis Bank Ltd.",NSE,954.7,954.7,949.95,1.3,951.25,949.95,951.25,118126,205581,NULL
"2023-07-31 09:15:17",2023-07-31,09:15:17,4,HDFCBANK,"HDFC Bank Ltd.",NSE,1650.05,1650.05,1643.65,1.95,1645.45,1643.5,1645.45,225195,325199,NULL
"2023-07-31 09:15:17",2023-07-31,09:15:17,4,ICICIBANK,"ICICI Bank Ltd.",NSE,996,997.6,996,-0.05,996.15,996.2,996.15,151331,253199,NULL
"2023-07-31 09:15:17",2023-07-31,09:15:17,4,"NIFTY BANK",,NSE,45546.4,45563.1,45479.1,19.4,45487.5,45468.1,45487.5,0,0,NULL
"2023-07-31 09:15:23",2023-07-31,09:15:23,5,AXISBANK,"Axis Bank Ltd.",NSE,954.7,954.7,949.65,-0.3,949.65,949.95,949.65,114181,211784,NULL
