timestamp,d_date,t_time,c_count,company_code,company,exchange,open,high,low,incre_decre,current,close,last_price,buy_qty,sell_qty,dwh_p_col3
"2023-08-25 09:15:01",2023-08-25,09:15:01,1,AXISBANK,"Axis Bank Ltd.",NSE,974,976.65,973.3,-7.35,974,981.35,974,72543,150501,NULL
"2023-08-25 09:15:01",2023-08-25,09:15:01,1,HDFCBANK,"HDFC Bank Ltd.",NSE,1574.55,1574.55,1574.55,-4.25,1575.05,1579.3,1575.05,160064,268915,NULL
"2023-08-25 09:15:01",2023-08-25,09:15:01,1,ICICIBANK,"ICICI Bank Ltd.",NSE,962.95,962.95,962.95,-4.95,964,968.95,964,88494,902264,NULL
"2023-08-25 09:15:01",2023-08-25,09:15:01,1,KOTAKBANK,"Kotak Mahindra Bank Ltd.",NSE,1771.2,1773.9,1771.2,-7.05,1773.9,1780.95,1773.9,54825,95396,NULL
"2023-08-25 09:15:01",2023-08-25,09:15:01,1,"NIFTY BANK",,NSE,44276.2,44331.4,44267.5,-220.05,44276.1,44496.2,44276.1,0,0,NULL
"2023-08-25 09:15:01",2023-08-25,09:15:01,1,SBIN,"State Bank of India",NSE,573.8,573.8,573.3,-3.25,573.7,576.95,573.7,243842,907047,NULL
"2023-08-25 09:15:03",2023-08-25,09:15:03,2,AXISBANK,"Axis Bank Ltd.",NSE,974,976.65,973.3,-7,974.35,981.35,974.35,72543,150501,NULL
"2023-08-25 09:15:03",2023-08-25,09:15:03,2,HDFCBANK,"HDFC Bank Ltd.",NSE,1574.55,1574.55,1574.55,-6.4,1572.9,1579.3,1572.9,160064,268915,NULL
"2023-08-25 09:15:03",2023-08-25,09:15:03,2,ICICIBANK,"ICICI Bank Ltd.",NSE,962.95,962.95,962.95,-4.1,964.85,968.95,964.85,88494,902264,NULL
"2023-08-25 09:15:03",2023-08-25,09:15:03,2,KOTAKBANK,"Kotak Mahindra Bank Ltd.",NSE,1771.2,1773.9,1771.2,-7.15,1773.8,1780.95,1773.8,54825,95396,NULL
"2023-08-25 09:15:03",2023-08-25,09:15:03,2,"NIFTY BANK",,NSE,44276.2,44331.4,44229.6,-244.25,44251.9,44496.2,44251.9,0,0,NULL
"2023-08-25 09:15:03",2023-08-25,09:15:03,2,SBIN,"State Bank of India",NSE,573.8,573.8,573.3,-3.75,573.2,576.95,573.2,243842,907047,NULL
"2023-08-25 09:15:05",2023-08-25,09:15:05,3,AXISBANK,"Axis Bank Ltd.",NSE,974,976.65,973.3,-6.8,974.55,981.35,974.55,72543,150501,NULL
"2023-08-25 09:15:05",2023-08-25,09:15:05,3,HDFCBANK,"HDFC Bank Ltd.",NSE,1574.55,1574.55,1574.55,-6.75,1572.55,1579.3,1572.55,160064,268915,NULL
"2023-08-25 09:15:05",2023-08-25,09:15:05,3,ICICIBANK,"ICICI Bank Ltd.",NSE,962.95,962.95,962.95,-4.1,964.85,968.95,964.85,88494,902264,NULL
